task,file,filesize,status,memory,params,cost,score,error
task179,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task179.onnx,170,ok,0,0,1.0,25.0,
task241,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task241.onnx,170,ok,0,0,1.0,25.0,
task140,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task140.onnx,382,ok,0,5,5.0,23.3905620875659,
task307,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task307.onnx,206,ok,0,5,5.0,23.3905620875659,
task087,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task087.onnx,382,ok,0,5,5.0,23.3905620875659,
task223,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task223.onnx,214,ok,0,5,5.0,23.3905620875659,
task337,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task337.onnx,159,ok,0,10,10.0,22.697414907005953,
task016,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task016.onnx,158,ok,0,10,10.0,22.697414907005953,
task276,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task276.onnx,217,ok,0,10,10.0,22.697414907005953,
task309,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task309.onnx,217,ok,0,10,10.0,22.697414907005953,
task312,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task312.onnx,271,ok,0,20,20.0,22.00426772644601,
task166,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task166.onnx,352,ok,0,24,24.0,21.821946169652055,
task326,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task326.onnx,314,ok,0,30,30.0,21.598802618337846,
task172,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task172.onnx,479,ok,0,30,30.0,21.598802618337846,
task385,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task385.onnx,175,ok,0,30,30.0,21.598802618337846,
task311,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task311.onnx,479,ok,0,30,30.0,21.598802618337846,
task130,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task130.onnx,382,ok,0,30,30.0,21.598802618337846,
task164,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task164.onnx,479,ok,0,30,30.0,21.598802618337846,
task113,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task113.onnx,499,ok,0,30,30.0,21.598802618337846,
task210,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task210.onnx,479,ok,0,30,30.0,21.598802618337846,
task053,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task053.onnx,175,ok,0,30,30.0,21.598802618337846,
task116,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task116.onnx,479,ok,0,30,30.0,21.598802618337846,
task056,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task056.onnx,859,ok,34,0,34.0,21.473639475383838,
task073,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task073.onnx,371,ok,0,40,40.0,21.311120545886062,
task067,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task067.onnx,296,ok,39,8,47.0,21.14985239828994,
task299,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task299.onnx,473,ok,0,50,50.0,21.087976994571854,
task103,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task103.onnx,411,ok,36,24,60.0,20.9056554377779,
task373,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task373.onnx,453,ok,0,60,60.0,20.9056554377779,
task291,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task291.onnx,449,ok,40,28,68.0,20.780492294823894,
task129,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task129.onnx,298,ok,80,0,80.0,20.61797336532612,
task399,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task399.onnx,524,ok,71,20,91.0,20.48914049348315,
task380,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task380.onnx,616,ok,0,99,99.0,20.40488014986541,
task314,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task314.onnx,622,ok_static,0,100,100.0,20.394829814011906,"Fail('[ONNXRuntimeError] : 1 : FAIL : /Users/runner/work/1/s/onnxruntime/core/graph/model.cc:182 onnxruntime::Model::Model(ModelProto &&, const PathString &, const IOnnxRuntimeOpSchemaRegistryList *, const logging::Logger &, const ModelOptions &) Unsupported model IR version: 13, max supported IR version: 11\n')"
task227,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task227.onnx,628,ok,0,100,100.0,20.394829814011906,
task318,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task318.onnx,605,ok,0,100,100.0,20.394829814011906,
task186,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task186.onnx,602,ok,80,23,103.0,20.365271011770364,
task144,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task144.onnx,623,ok,0,104,104.0,20.35560910085863,
task262,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task262.onnx,614,ok,90,16,106.0,20.336560905887932,
task024,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task024.onnx,720,ok,0,110,110.0,20.299519634207584,
task007,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task007.onnx,840,ok,0,127,127.0,20.15581291354141,
task298,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task298.onnx,396,ok,120,15,135.0,20.09472522156157,
task149,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task149.onnx,776,ok,36,100,136.0,20.087345114263947,
task339,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task339.onnx,699,ok,40,100,140.0,20.058357577390694,
task389,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task389.onnx,973,ok,128,12,140.0,20.058357577390694,
task347,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task347.onnx,792,ok,117,26,143.0,20.03715536974009,
task393,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task393.onnx,494,ok,125,19,144.0,20.030186700424,
task317,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task317.onnx,697,ok,128,18,146.0,20.016393378291664,
task167,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task167.onnx,953,ok,20,128,148.0,20.002787726235887,
task248,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task248.onnx,723,ok_static,122,29,151.0,19.982720163185075,"NotImplemented(""[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Min(13) node with name 'safe_name_8'"")"
task006,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task006.onnx,877,ok,126,27,153.0,19.969562078607566,
task150,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task150.onnx,498,ok,128,30,158.0,19.937404966973034,
task155,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task155.onnx,452,ok,128,30,158.0,19.937404966973034,
task391,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task391.onnx,679,ok,135,24,159.0,19.93109579777977,
task258,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task258.onnx,880,ok,0,160,160.0,19.924826184766175,
task395,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task395.onnx,819,ok,144,21,165.0,19.89405452609942,
task028,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task028.onnx,963,ok,0,168,168.0,19.876036020596743,
task235,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task235.onnx,740,ok,111,59,170.0,19.864201562949738,
task376,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task376.onnx,777,ok,144,42,186.0,19.774253326286797,
task082,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task082.onnx,989,ok,0,190,190.0,19.752975927839515,
task313,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task313.onnx,1064,ok,0,192,192.0,19.742504627972217,
task334,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task334.onnx,1567,ok_static,189,8,197.0,19.716796271262012,"NotImplemented(""[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(13) node with name 'safe_name_13'"")"
task322,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task322.onnx,920,ok,144,56,200.0,19.701682633451963,
task261,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task261.onnx,995,ok,0,200,200.0,19.701682633451963,
task026,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task026.onnx,1016,ok,0,200,200.0,19.701682633451963,
task135,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task135.onnx,997,ok,0,200,200.0,19.701682633451963,
task180,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task180.onnx,1110,ok,0,210,210.0,19.65289246928253,
task386,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task386.onnx,814,ok,180,31,211.0,19.648141866523932,
task038,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task038.onnx,892,ok,163,50,213.0,19.638707834290575,
task231,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task231.onnx,760,ok,180,39,219.0,19.6109282701835,
task052,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task052.onnx,944,ok,213,14,227.0,19.575049982518596,
task315,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task315.onnx,1293,ok,0,230,230.0,19.561920691076804,
task207,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task207.onnx,1400,ok,192,44,236.0,19.53616819497439,
task236,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task236.onnx,743,ok,208,29,237.0,19.531939858864867,
task274,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task274.onnx,1940,ok,158,80,238.0,19.527729326328526,
task176,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task176.onnx,1229,ok,0,240,240.0,19.519361076658008,
task229,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task229.onnx,1348,ok,212,28,240.0,19.519361076658008,
task104,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task104.onnx,1443,ok_static,197,57,254.0,19.462665732981463,"NotImplemented(""[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name 'output'"")"
task252,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task252.onnx,1242,ok,0,260,260.0,19.439318368984473,
task142,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task142.onnx,782,ok,144,138,282.0,19.358092929061886,
task249,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task249.onnx,856,ok,248,39,287.0,19.34051778424038,
task357,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task357.onnx,926,ok_static,258,33,291.0,19.326676732828506,"NotImplemented(""[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Min(13) node with name 'safe_name_13'"")"
task306,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task306.onnx,1498,ok,0,300,300.0,19.2962175253438,
task321,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task321.onnx,1418,ok,0,300,300.0,19.2962175253438,
task003,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task003.onnx,1442,ok,281,21,302.0,19.28957298262513,
task296,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task296.onnx,4494,ok,285,45,330.0,19.200907345539473,
task353,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task353.onnx,1305,ok,272,62,334.0,19.1888590070233,
task360,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task360.onnx,1634,ok,0,340,340.0,19.17105438238979,
task121,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task121.onnx,2806,ok,275,66,341.0,19.168117522716482,
task095,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task095.onnx,587,ok_static,245,100,345.0,19.15645558296864,"NotImplemented(""[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name 'output'"")"
task266,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task266.onnx,1110,ok_static,315,35,350.0,19.142066845516542,"NotImplemented(""[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(13) node with name 'safe_name_15'"")"
task375,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task375.onnx,1747,ok,108,242,350.0,19.142066845516542,
task290,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task290.onnx,1427,ok,292,63,355.0,19.127882210524582,
task181,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task181.onnx,2280,ok,201,168,369.0,19.089203355959473,
task040,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task040.onnx,1572,ok,240,134,374.0,19.07574420258547,
task049,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task049.onnx,2239,ok_static,252,134,386.0,19.04416263053517,"NotImplemented(""[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Min(13) node with name 'output'"")"
task211,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task211.onnx,976,ok,240,156,396.0,19.01858578874552,
task127,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task127.onnx,1009,ok,204,192,396.0,19.01858578874552,
task272,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task272.onnx,1173,ok,200,202,402.0,19.003547911380977,
task203,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task203.onnx,495,ok,408,1,409.0,18.986284843957197,
task257,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task257.onnx,1880,ok,0,409,409.0,18.986284843957197,
task072,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task072.onnx,446,ok,390,31,421.0,18.957367166317617,
task316,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task316.onnx,1160,ok,388,38,426.0,18.94556065373063,
task292,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task292.onnx,1904,ok,252,182,434.0,18.926955465899596,
task282,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task282.onnx,698,ok,407,39,446.0,18.899681047979936,
task083,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task083.onnx,1325,ok,376,71,447.0,18.89744140538643,
task242,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task242.onnx,1414,ok,396,60,456.0,18.877507190485613,
task352,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task352.onnx,2092,ok,0,460,460.0,18.86877351051686,
task081,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task081.onnx,821,ok,392,72,464.0,18.860115447773744,
task371,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task371.onnx,1395,ok,376,91,467.0,18.853670742331104,
task128,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task128.onnx,2157,ok,0,480,480.0,18.826213896098064,
task039,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task039.onnx,1055,ok,424,56,480.0,18.826213896098064,
task146,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task146.onnx,1728,ok,388,107,495.0,18.79544223743131,
task247,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task247.onnx,1908,ok,435,62,497.0,18.79140997390337,
task362,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task362.onnx,1825,ok,408,113,521.0,18.744249958246634,
task147,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task147.onnx,1309,ok,432,100,532.0,18.723356510658355,
task111,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task111.onnx,1010,ok,528,7,535.0,18.717733253103994,
task300,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task300.onnx,3398,ok,474,66,540.0,18.70843086044168,
task059,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task059.onnx,2038,ok,265,292,557.0,18.677434760072714,
task332,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task332.onnx,1539,ok,429,134,563.0,18.666720371860308,
task100,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task100.onnx,2429,ok,474,90,564.0,18.664945748501943,
task384,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task384.onnx,1911,ok,540,53,593.0,18.614805601002274,
task126,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task126.onnx,1334,ok,590,15,605.0,18.59477154196916,
task068,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task068.onnx,1693,ok,500,123,623.0,18.565453481212547,
task152,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task152.onnx,1404,ok,504,125,629.0,18.55586874329956,
task305,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task305.onnx,3251,ok,296,340,636.0,18.544801436659878,
task065,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task065.onnx,2192,ok,582,59,641.0,18.53697054307933,
task253,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task253.onnx,1807,ok,600,50,650.0,18.523027637110317,
task057,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task057.onnx,1367,ok,638,30,668.0,18.495711826463356,
task263,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task263.onnx,4924,ok,565,117,682.0,18.47497034215654,
task269,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task269.onnx,1619,ok,685,24,709.0,18.436144473467873,
task372,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task372.onnx,3057,ok,0,710,710.0,18.43473502996464,
task289,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task289.onnx,1238,ok,618,124,742.0,18.39065075683262,
task218,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task218.onnx,3328,ok,653,96,749.0,18.38126101648278,
task200,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task200.onnx,1562,ok,570,186,756.0,18.37195862382047,
task178,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task178.onnx,4644,ok,702,62,764.0,18.361432210833478,
task214,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task214.onnx,650,ok,726,41,767.0,18.357513198632745,
task320,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task320.onnx,2977,ok,448,322,770.0,18.35360948515227,
task267,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task267.onnx,1133,ok,734,38,772.0,18.351015449975222,
task043,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task043.onnx,1519,ok,588,206,794.0,18.322916538752864,
task153,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task153.onnx,5608,ok,741,54,795.0,18.32165788534567,
task221,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task221.onnx,3577,ok,451,354,805.0,18.309157722581435,
task122,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task122.onnx,3470,ok,0,810,810.0,18.302965752333517,
task143,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task143.onnx,3342,ok,591,247,838.0,18.268981899517918,
task047,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task047.onnx,2305,ok,826,36,862.0,18.240744729336306,
task106,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task106.onnx,1359,ok,776,93,869.0,18.23265687473461,
task327,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task327.onnx,854,ok,810,71,881.0,18.218942374063822,
task114,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task114.onnx,3835,ok,0,900,900.0,18.197605236675688,
task230,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/7157.62/task230.onnx,3798,ok,0,900,900.0,18.197605236675688,
